"x","y"
24,-112.5
44.4,0
32,54.9
31.2,8.1
13.8,0
15.6,-40.2
27,-16
3.6,0
14.6,-13.3
35.4,69.6
44,-1.3
6.6,-2.7
10.2,-5.4
23.2,-123.1
14.6,-9.3
16.2,-61.7
41.6,30.8
25,-57.6
34.8,75
17.6,-101.9
55,-2.7
23.4,-128.5
43,14.7
48.8,-13.3
32.8,46.9
17.6,-85.6
9.6,-2.7
34.4,1.3
42.8,0
39.4,-1.3
28.4,37.5
15.4,-22.8
21.4,-101.9
19.2,-123.1
17.6,-37.5
14.6,-16
40.4,-13.3
19.4,-72.3
15.4,-53.5
28.6,46.9
16,-26.8
35.6,32.1
15.4,-54.9
16.8,-91.1
22,-123.1
8.8,-1.3
26.2,-21.5
16.8,-71
25,-64.4
40,-21.5
35.6,34.8
24.2,-81.8
39.2,5.4
46.6,10.7
26.4,-65.6
16,-42.9
55.4,-2.7
29.4,-17.4
24.2,-95.1
42.8,-10.7
57.6,10.7
35.2,-54.9
17.6,-123.1
53.2,-14.7
45,10.7
33.8,45.6
16.2,-21.5
6.8,-1.3
11,-5.4
20.2,-123.1
3.2,-2.7
13.2,-2.7
16.4,-5.4
27.6,4
25.6,-26.8
27.2,9.5
28.2,12
26,-5.4
18.6,-112.5
47.8,-14.7
7.8,-2.7
17.8,-104.4
13.6,-2.7
36.2,-37.5
14.8,-2.7
19.4,-85.6
15.8,-50.8
10,-2.7
35.2,-16
15.4,-32.1
50.6,0
36.2,22.8
25.4,-72.3
41.6,-10.7
30.2,36.2
15.8,-21.5
27.2,-45.6
32,48.2
2.4,0
16.6,-59
11.4,0
26.2,-107.1
14.6,-5.4
17.8,-99.1
4,-2.7
18.6,-50.8
16.8,-77.7
21.2,-134
25.4,-44.3
10.6,-2.7
38,46.9
2.6,-1.3
14.6,-5.4
16.2,-50.8
16.4,-80.4
27.2,-24.2
20.4,-117.9
6.2,-2.7
55,10.7
33.4,16
14.6,-22.8
38,10.7
52,10.7
42.4,29.4
24.6,-53.5
31,75
21.8,-108.4
8.8,-2.7
15.6,-21.5
19.6,-127.2
28.4,-21.5
8.2,-2.7
47.8,-26.8
